percentage_voters_counted_stepped,cum_percentage_of_total_vp,percentage_voters_counted
0.0,0.2024183168258523,0.0033776485283915324
1.0,0.3367657145486396,0.010082340651832325
2.0,0.4726196982593314,0.019943626311045612
3.0,0.5524522969026034,0.029958973878298264
4.0,0.6122275863903925,0.040010941787151734
5.0,0.6616463907974117,0.05002363318326978
6.0,0.699596406547997,0.05993896650358089
7.0,0.7278635199103471,0.06993100015073371
8.0,0.7515876974230977,0.07989991074587427
9.0,0.7751094299801179,0.08997677697273623
10.0,0.7943042928515106,0.10001471617600305
11.0,0.8084208249748279,0.10997152061542832
12.0,0.8239021014338862,0.11995455800454127
13.0,0.8358079820302131,0.13002514801737208
14.0,0.8453207697713,0.14006555754243766
15.0,0.8597728285721303,0.14999716529958232
16.0,0.8672988251980154,0.16002577103917845
17.0,0.8746568484891483,0.16994740938587272
18.0,0.8825047979119712,0.17991771533122822
19.0,0.8900551575151804,0.1900076184838291
20.0,0.8989310791109351,0.19992211401427099
21.0,0.9019031167538626,0.20984120262763353
22.0,0.9100754417775079,0.22005580646980522
23.0,0.9147619701960593,0.23009572627255317
24.0,0.9209362200464942,0.24002946198154104
25.0,0.9231459929459017,0.2499635978526974
26.0,0.9288334772833607,0.2598819969734318
27.0,0.9338555580579294,0.2699399478688105
28.0,0.935829607893657,0.2799408162528817
29.0,0.939532994516379,0.2899203701583454
30.0,0.9441769291152098,0.29995273073382384
31.0,0.9469740754845847,0.3098778357632197
32.0,0.9500741928863246,0.3198754568655484
33.0,0.9520298109998229,0.3300143798774618
34.0,0.9558280484347558,0.3401097683870837
35.0,0.9587064588948534,0.3500668690902843
36.0,0.9600430733681847,0.36003736025692923
37.0,0.9632873780817042,0.3699313649687712
38.0,0.964275583609562,0.3800304251256568
39.0,0.9671917386166661,0.39001098795988665
40.0,0.9685376856928083,0.39995512594657384
41.0,0.9714553548325118,0.4099303691152231
42.0,0.9719189514456615,0.41994123263708283
43.0,0.9736837840518857,0.4300491664885412
44.0,0.9754334880759558,0.44000605155287187
45.0,0.9769452560865406,0.4500345771190759
46.0,0.9781796716783686,0.4599608273330125
47.0,0.9796158733265237,0.469916502080711
48.0,0.980544030470629,0.4799398966978438
49.0,0.9819392639318851,0.4900296291410051
50.0,0.9825861133604449,0.4999784017278618
51.0,0.9840123646511924,0.5099271743147183
52.0,0.9848757335109304,0.5199847360075814
53.0,0.9858516707844167,0.5300080150632764
54.0,0.9866438368967398,0.5399951198035513
55.0,0.9875444145761321,0.5499226878381891
56.0,0.9882781246946849,0.5599503754623787
57.0,0.989014335237594,0.5698747566727886
58.0,0.9894815763462851,0.5799847119900987
59.0,0.9907211658049624,0.5900256748408209
60.0,0.9909287995850838,0.6000018633007379
61.0,0.9917176382292069,0.6099448619297381
62.0,0.9922325744901022,0.6197050825442705
63.0,0.9925528361881851,0.6298141849250977
64.0,0.9931936011259821,0.6399190667583213
65.0,0.9937354801130117,0.6498897469617764
66.0,0.9942392041876184,0.6598471281646404
67.0,0.9945171400822294,0.669910901274708
68.0,0.9950022877831971,0.6800484708131541
69.0,0.9953538396833879,0.6900791534840921
70.0,0.9957518044128889,0.7000034096170533
71.0,0.996084485253963,0.7100277966843869
72.0,0.9963436007054027,0.7199831521996104
73.0,0.9966910636653604,0.7299856754791946
74.0,0.9969736462243313,0.7400741433774454
75.0,0.9971217446483724,0.7499930181993634
76.0,0.9975335293443166,0.7599313497839391
77.0,0.9976921203412884,0.769826889563373
78.0,0.9979456824911566,0.7798703956899604
79.0,0.9981206899098649,0.7901164244910105
80.0,0.9983898494072591,0.800033342555885
81.0,0.9984579148386464,0.80994973759293
82.0,0.9986623793994711,0.8200072238782887
83.0,0.9988278225621554,0.8299758269201483
84.0,0.9989960393982928,0.8399312182081333
85.0,0.9991278013678426,0.8499592617156683
86.0,0.9992106025270342,0.8598916159050998
87.0,0.9993695119598831,0.8697028362707826
88.0,0.9994254520342136,0.8797961454183264
89.0,0.9995533540438559,0.889985001123702
90.0,0.9996297098024798,0.8999422730713087
91.0,0.9996990614858233,0.9099802122745755
92.0,0.9997804181610831,0.9200251438281266
93.0,0.9998344726690682,0.9299924628937276
94.0,0.9998894617791025,0.9400179300481433
95.0,0.9999305886520421,0.949932216706355
96.0,0.9999603271700511,0.9599466853314923
97.0,0.9999835797045052,0.9699655349493319
98.0,0.9999947291650031,0.9799795852150093
99.0,0.9999989959445612,0.9898738956720188
100.0,0.9999999144061661,0.9986648064431723
